group_name,first_sighted,last_sighted,group_slug,n_members
Christian Ex-Jehovah's Witness Recovery Group,2021-03-23,2021-04-13,621301237909910,1700.0
Christian Planner | Health & Fitness,2020-12-22,2021-01-04,ChristianPlannerHealthFitness,651.0
Christmas is a Goddamn Disease,2020-12-30,2020-12-30,1145516589183885,76.0
Chronic Illness Cobbers,2021-03-18,2021-04-01,2199785010281001,75.0
Church Pianist/Organist Recovery Group,2021-03-20,2021-04-26,1927960087434249,1500.0
Cindy's Healthy Living VIP's,2021-03-22,2021-03-22,1898956520362438,60.0
Cindy's healthy living VIP's,2021-03-22,2021-03-22,1019105328499777,47.0
"Climate Change,  Public and Environmental Health (IDEH)",2020-12-16,2020-12-16,759301360799171,6200.0
"Clinical Reasoning & Medical Exam Strategies (USMLE, Shelf) - Neurology",2021-04-15,2021-04-16,1573189269554345,140.0
Clutter Chicks in Recovery,2021-03-22,2021-03-22,747815038728282,951.0
Co-Dependents In Recovery,2020-11-23,2021-04-27,1827996894109169,32000.0
"Coach Rosa: Healthy Mind, Healthy Body",2020-12-28,2021-03-29,VirtualCoachRosa,255.0
Coachella Valley Economic Recovery,2020-12-15,2021-04-22,208028037084994,2100.0
"Cockatiel Nutrition, Health, Wellbeing & First Aid",2021-03-31,2021-04-15,cockatielnutrition,3600.0
Codependents in Recovery,2021-02-04,2021-02-19,811829082255287,19000.0
Colorado Unemployment/PEUC/PUA (Pandemic Unemployment Assistance) Q&A,2021-01-06,2021-01-16,314797486157023,5600.0
"Coloring Beyond The Lines, Empowering Women Through Good Mental Health",2021-04-24,2021-04-30,927305164691815,16.0
Coloring Is Healthy & Fun,2021-04-29,2021-04-30,1690808600933991,90.0
"Columbia University Medical Center Sublets, Housing, Roommates",2021-03-21,2021-04-16,1952394528216508,570.0
Comedy Screenwriting / Screenwriters with Comedic Minds,2021-03-26,2021-03-27,comedyscreenwriting,1400.0
Comrade Coronavirus,2020-12-01,2021-01-07,1269349763276311,6600.0
Container Gardening for Healthier Eating,2021-01-07,2021-04-22,214660225261319,13000.0
Cooking Through a Pandemic,2021-02-11,2021-02-11,308158176811639,2000.0
Cooking for the Covid19-calypse,2021-03-16,2021-03-16,2526175187594985,257.0
Coos | Lower Umpqua COVID-19 Resources,2021-03-22,2021-03-22,cooscountyresource,1100.0
CoronaVirus COVID-19 International News and Information,2021-03-21,2021-03-22,2598746947036949,670.0
Coronavirus - Daily Mail group,2021-01-05,2021-02-02,2902125376538352,10000.0
Coronavirus Comedy Club,2021-01-13,2021-01-13,691799381362153,120.0
Coronavirus Gallows Humor,2021-01-05,2021-01-14,205581620531878,5100.0
Coronavirus Ohio Restaurant Worker Resources,2020-12-16,2020-12-16,coronavirusOHrestaurant,27000.0
"Coronavirus Pandemic (Latest news, information & discussion)",2020-11-27,2020-11-28,CoronavirusPandemic,28000.0
Coronavirus Symptoms  (COVID-19),2021-03-18,2021-03-18,CoronavirusSymptoms,17000.0
Coronavirus Watch,2021-01-05,2021-01-05,coronaviruswatchusatoday,8600.0
Coronavirus in California,2020-12-29,2021-01-09,coronavirusCA,13000.0
Coronavirus world support group for Window cleaners/powerwashers +,2021-04-26,2021-04-26,coronavirussupportgroupwindowcleaners,151.0
Courtney’s Healthy Vibes Tribe,2021-03-18,2021-03-22,738160403669827,29.0
Covid 19 .. Mask and Food to Helpless Old people in the world,2021-04-17,2021-04-23,521007438598831,
Covid Humor,2020-11-19,2020-11-19,covidhumor,1600.0
Covid-19 Healthcare Professionals,2020-12-31,2020-12-31,778898462635139,82000.0
Covid-19 Recovered - Survivors UNCENSORED,2021-01-05,2021-01-15,covid19survive,514.0
Covid-19 UK & Ireland Sufferer & Survivor Support,2021-02-05,2021-02-22,covid.uk.irl.survivors,3500.0
Covid-19 is a HOAX!,2021-03-26,2021-03-26,3990668860994897,18.0
"Craft Beer Girls Beer&Body Fitness, Health & Wellness",2021-03-22,2021-04-30,1705580736405626,6400.0
Crazy for Disney Fit and Healthy,2021-03-20,2021-04-15,1670090079953336,2500.0
Creating A New Start in Recovery,2021-03-22,2021-03-22,1529302410662992,83.0
Creating Health,2021-02-15,2021-02-15,creatinghealthcommunity,4200.0
Creating Healthier Lives,2021-04-01,2021-04-07,1267919169939870,
"Creating Healthy, Strong, and Confident Women with Maria V.",2021-03-26,2021-04-19,mariavfit,620.0
Creating Optimal Health - Lange/Schenck Team Support,2021-04-25,2021-04-27,langeschenckteam,36.0
Creating Our Healthy Isa Body!!!,2021-03-26,2021-03-26,749088042284638,350.0
Crohn's Disease Support Group,2021-03-02,2021-03-02,1786587378281600,14000.0
Cult Jokes: Ex-Jehovah Witness recovery Via Humor!!!,2021-04-14,2021-04-21,732159900459945,3500.0
Curly Girls! - Support Group for Curly / Wavy / Natural Healthy Hair,2020-12-17,2021-04-30,curlywavynatural,79000.0
Cushing's Disease/ Syndrome Support Group,2021-03-26,2021-03-26,2134645000088351,4700.0
Cycling Industry Recovery,2021-04-30,2021-04-30,245908012747207,2000.0
